tierDescription|issueSymbolIdentifier|issueName|marketParticipantName|MPID|totalWeeklyShareQuantity|totalWeeklyTradeCount|lastUpdateDate
OTC|AUCUF|Inflection Resources Ltd. Common Shares (Canada)|OTCN OTC LINK NQB IDQS|OTCN|25500|3|2025-12-15
OTC|AUMBF|1911 Gold Corp Ordinary Shares|OTCN OTC LINK NQB IDQS|OTCN|210441|68|2025-12-15
OTC|AUMBF|1911 Gold Corp Ordinary Shares|OTCX OTC LINK ECN ATS|OTCX|51567|35|2025-12-15
OTC|AUMN|GOLDEN MINERALS CO Common Stock|OTCN OTC LINK NQB IDQS|OTCN|116797|24|2025-12-15
OTC|AUMN|GOLDEN MINERALS CO Common Stock|OTCX OTC LINK ECN ATS|OTCX|5249|10|2025-12-15
OTC|AUOTY|AUO CORPORATION American Depositary Receipts - Sponsored|ARCA GLOBAL OTC|ARCA|12882|55|2025-12-15
OTC|AUOTY|AUO CORPORATION American Depositary Receipts - Sponsored|OTCN OTC LINK NQB IDQS|OTCN|16885|61|2025-12-15
OTC|AUOTY|AUO CORPORATION American Depositary Receipts - Sponsored|OTCX OTC LINK ECN ATS|OTCX|6413|43|2025-12-15
OTC|AUTR|Autris Common Stock|OTCN OTC LINK NQB IDQS|OTCN|692|1|2025-12-15
OTC|AUTR|Autris Common Stock|OTCX OTC LINK ECN ATS|OTCX|3708|7|2025-12-15
OTC|AUXXF|A2 GOLD CORP Common Stock|ARCA GLOBAL OTC|ARCA|1500|1|2025-12-15
OTC|AUXXF|A2 GOLD CORP Common Stock|OTCN OTC LINK NQB IDQS|OTCN|12450|6|2025-12-15
OTC|AUXXF|A2 GOLD CORP Common Stock|OTCX OTC LINK ECN ATS|OTCX|7275|7|2025-12-15
OTC|AVAI|Avant Technologies Inc.  Common Stock|OTCN OTC LINK NQB IDQS|OTCN|1435|3|2025-12-15
OTC|AVDFS|ARRIVED HOMES 3 LLC MEMBERSHIP INT SER ROSS|PPEX NORTH CAPITAL PRIVATE SECURITIES CORPORATION|PPEX|895|73|2025-12-15
OTC|AVDHS|ARRIVED HOMES 3 LLC MEMBERSHIP INT SER ROBINSON|PPEX NORTH CAPITAL PRIVATE SECURITIES CORPORATION|PPEX|779|39|2025-12-15
OTC|AVDIS|ARRIVED HOMES 3 LLC MEMBERSHIP INT SER OAKLAND|PPEX NORTH CAPITAL PRIVATE SECURITIES CORPORATION|PPEX|779|82|2025-12-15
OTC|AVDUS|ARRIVED HOMES 3 LLC MEMBERSHIP INT SER COLLINISON|PPEX NORTH CAPITAL PRIVATE SECURITIES CORPORATION|PPEX|976|88|2025-12-15
OTC|AVDZS|ARRIVED HOMES 3 LLC MEMBERSHIP INT SER SEDGEFIELD|PPEX NORTH CAPITAL PRIVATE SECURITIES CORPORATION|PPEX|805|53|2025-12-15
OTC|AVFLS|ARRIVED HOMES 4 LLC MEMBERSHIP INT SER FLINTWOOD|PPEX NORTH CAPITAL PRIVATE SECURITIES CORPORATION|PPEX|343|41|2025-12-15
OTC|AVFTS|ARRIVED HOMES LLC MEMBERSHIP INT SER FLETCHER Shares of Beneficial Interest|PPEX NORTH CAPITAL PRIVATE SECURITIES CORPORATION|PPEX|445|42|2025-12-15
OTC|AVHDS|ARRIVED HOMES 3 LLC MEMBERSHIP INT SER HARDMAN|PPEX NORTH CAPITAL PRIVATE SECURITIES CORPORATION|PPEX|1485|139|2025-12-15
OTC|AVHLS|ARRIVED HOMES 3 LLC MEMBERSHIP INT SER LUCAS Shares of Beneficial Interest|PPEX NORTH CAPITAL PRIVATE SECURITIES CORPORATION|PPEX|2436|123|2025-12-15
OTC|AVHOS|ARRIVED HOMES 4 LLC Membership Int Series Bristol|PPEX NORTH CAPITAL PRIVATE SECURITIES CORPORATION|PPEX|781|44|2025-12-15
OTC|AVIFY|Advanced Info Service Ltd Sponsored ADR|OTCN OTC LINK NQB IDQS|OTCN|300|2|2025-12-15
OTC|AVLLS|ARRIVED HOMES 3 LLC MEMBERSHIP INT SER LAYLA Shares of Beneficial Interest|PPEX NORTH CAPITAL PRIVATE SECURITIES CORPORATION|PPEX|2151|113|2025-12-15
OTC|AVLNF|Avalon Advanced Materials, Inc. Ordinary Shares|OTCN OTC LINK NQB IDQS|OTCN|291942|21|2025-12-15
OTC|AVLNF|Avalon Advanced Materials, Inc. Ordinary Shares|OTCX OTC LINK ECN ATS|OTCX|184750|17|2025-12-15
OTC|AVLUS|ARRIVED HOMES 4 LLC MEMBERSHIP INT SER GERALD|PPEX NORTH CAPITAL PRIVATE SECURITIES CORPORATION|PPEX|1384|59|2025-12-15
