tierDescription|issueSymbolIdentifier|issueName|marketParticipantName|MPID|totalWeeklyShareQuantity|totalWeeklyTradeCount|lastUpdateDate
OTC|BDOUY|BDO Unibank Inc Sponsored ADR (Phillippines)|ARCA GLOBAL OTC|ARCA|3994|23|2025-12-15
OTC|BDOUY|BDO Unibank Inc Sponsored ADR (Phillippines)|OTCN OTC LINK NQB IDQS|OTCN|6116|35|2025-12-15
OTC|BDOUY|BDO Unibank Inc Sponsored ADR (Phillippines)|OTCX OTC LINK ECN ATS|OTCX|1602|18|2025-12-15
OTC|BDRAF|BOMBARDIER INC Common Shares|OTCN OTC LINK NQB IDQS|OTCN|84|3|2025-12-15
OTC|BDRAF|BOMBARDIER INC Common Shares|OTCX OTC LINK ECN ATS|OTCX|20|1|2025-12-15
OTC|BDRBF|BOMBARDIER INC Common Shares|ARCA GLOBAL OTC|ARCA|381|10|2025-12-15
OTC|BDRBF|BOMBARDIER INC Common Shares|OTCN OTC LINK NQB IDQS|OTCN|542|11|2025-12-15
OTC|BDRBF|BOMBARDIER INC Common Shares|OTCX OTC LINK ECN ATS|OTCX|2980|36|2025-12-15
OTC|BDRFY|Beiersdorf A G Unsponsored ADR (Germany)|ARCA GLOBAL OTC|ARCA|16765|57|2025-12-15
OTC|BDRFY|Beiersdorf A G Unsponsored ADR (Germany)|OTCN OTC LINK NQB IDQS|OTCN|8267|44|2025-12-15
OTC|BDRFY|Beiersdorf A G Unsponsored ADR (Germany)|OTCX OTC LINK ECN ATS|OTCX|2835|25|2025-12-15
OTC|BDRLQ|BLONDER TONGUE LABORATORIES INC Common Stock|OTCN OTC LINK NQB IDQS|OTCN|100000|5|2025-12-15
OTC|BDVSY|Bidvest Group Ltd Sponsored ADR New (South Africa)|ARCA GLOBAL OTC|ARCA|1803|12|2025-12-15
OTC|BDVSY|Bidvest Group Ltd Sponsored ADR New (South Africa)|OTCN OTC LINK NQB IDQS|OTCN|686|7|2025-12-15
OTC|BDVSY|Bidvest Group Ltd Sponsored ADR New (South Africa)|OTCX OTC LINK ECN ATS|OTCX|790|9|2025-12-15
OTC|BEOLF|BEYOND OIL LTD COM (Canada)|OTCN OTC LINK NQB IDQS|OTCN|4540|7|2025-12-15
